ano,mês,dia,hora,Rn,Gmedio,T_z1,UR_z1
2009,1,12,1000,622.55,12345,30.3855584926742,68.6191626255763
2009,1,12,1030,694.85,17.6425,30.9584178902672,65.7695478808129
2009,1,12,1100,738.5,21.0725,31.3639820655544,63.2533986912878
2009,1,12,1130,607.25,20.2675,31.3791907221276,62.2479495171603
2009,1,12,1200,821.5,20.8275,31.8607981802811,62.8593030350971
2009,1,12,1230,704,23.2075,32.1244148942177,61.3031304439852
2009,1,12,1300,785.5,28.5375,32.7327611571484,56.6042976201731
2009,1,12,1330,796.5,21975,32.9862387667029,54.4317190027117
2009,1,12,1400,793.5,28.1025,33.5337504033405,51.9559898804882
2009,1,12,1430,757,16.7475,33.9190363698633,48.8032246309627
2009,1,12,1500,657.75,23375,33.9241059220544,47.8735630830257
2009,1,12,1530,602.85,40.1675,34.2891136798128,47.8887206082638
2009,1,12,1600,552,21.5625,34.7757906901574,46.5447533704853
2009,1,12,1630,494.8,10.05175,34.8974599427435,44.8218480017542
2009,1,12,1700,352.5,11.64,34.6439823331891,45.519094162707
2009,1,12,1730,230.15,1.1055,35.5463626232029,44.2307045174682
2009,1,12,1800,109.2,-1.74725,34.6490518853801,48.560704227153
2009,1,12,1830,-10.1065,-3.0775,33.107908019289,54.628766830807
2009,1,12,1900,-44.38,-7464,31.2423128129682,64.0668525457326
2009,1,13,530,-33335,-12.0725,26.1930388306434,91.4969207182869
2009,1,13,600,-31.4,-11.93,26.3299167398028,90.8400946246357
2009,1,13,630,-725,-10125,25.7367791334454,91.7495461389219
2009,1,13,700,43.45,-6.4045,25.8787265947959,91.0927200452707
2009,1,13,730,143.8,-0.0417499999999999,27.5009832959444,84.3223587722513
2009,1,13,800,227.65,6.83875,29.1992832799593,77.3498971627238
2009,1,13,830,351.15,11.0025,30.3500716273365,74.4699673674842
2009,1,13,900,432.55,13.97,31.6630856448286,67.0478325092263
2009,1,13,930,529.6,16335,32.5097008607405,61.7881712516045
2009,1,13,1000,608.4,15.62,32.4742139954029,58.5090932917615
2009,1,13,1030,726.65,19.9425,32.9507519013653,59.0648692171586
2009,1,13,1100,693.05,22.17,32.9304736926009,58.8122437965235
2009,1,13,1130,678.4,17.06,33.2498554806395,54.4367715111244
2009,1,13,1200,880.5,17.1225,33.9545232352009,52.4410306881074
2009,1,13,1230,606.6,17.8475,33.7618802519395,51.3901089382656
2009,1,13,1300,694.8,23.33,33.3258987635059,54.9117073019183
2009,1,13,1330,823,22.3825,34.471617558692,48.1463985373115
2009,1,13,1400,829,25.05,35.3385109833683,44.6753252577859
2009,1,13,1430,621.7,19.4975,35.2067026263999,44.4934349549286
2009,1,13,1500,180.15,9.22225,34.0812620399782,47.2066319725491
2009,1,13,1530,175.7,7.45875,33.2397163762574,55.9121039676331
2009,1,13,1600,183.45,8.66,33.1484644368178,59.4791749070001
2009,1,13,1630,178.8,9.7225,33.219438167493,62.6268876481128
2009,1,13,1700,93.05,6557,32.6313701133267,66.0373308266861
2009,1,13,1730,42.14,3913,31.9520501197207,74.0657666944681
2009,1,13,1800,14.66,2.33975,31.683363853593,73.86366635796
2009,1,13,1830,-17029,0.05175,31.3639820655544,75.2278436293893
2009,1,13,1900,-49305,-3172,30.6694534153752,75.3288937976434
2009,1,14,530,-39.23,-12095,26.5479074840197,88.5159407547932
2009,1,14,600,-32.46,-12.0475,26.9027761373959,84.8781346976484
2009,1,14,630,-6.2895,-11355,26.0308131605286,91.4969207182868
2009,1,14,700,18.46,-7.37325,26.2741516657008,89.4759173532064
2009,1,14,730,90275,-1.88625,27.820365083983,84.8276096135214
2009,1,14,800,214.1,5247,28.9356665660227,78.158298508756
2009,1,14,830,312,9565,30.1574286440751,71.4334098114508
2009,1,14,900,431.6,12.07,30.6491752066108,68.7808428947828
2009,1,14,930,539.35,15.4525,31.5566250488158,65.3047171068444
2009,1,14,1000,607.9,16.7375,32.7733175746772,59.3932822639841
2009,1,14,1030,687.6,19115,32.5654659348425,57.7461645214436
2009,1,14,1100,737.5,19.22,33.0217256320405,56.675032737951
2009,1,14,1130,771,16.61,33.619932790589,52.5471333647742
2009,1,14,1200,765,16.4725,33.9646623395831,52.228825334774
2009,1,14,1230,631.05,17.9725,34.1522357706534,50.4806574239794
2009,1,14,1300,862,24.2125,34.6946778550999,47.3582072249302
2009,1,14,1330,741,21.4825,34.7403038248197,45.9990824619136
2009,1,14,1400,774,25.09,35.4246933706168,43.8972389622299
2009,1,14,1430,642.2,16.6475,35.6883100845534,43.2303078517534
2009,1,14,1500,662.6,17.2925,35.3435805355594,45.0694209139766
2009,1,14,1530,519.2,36.6575,35.5007366534831,43.6900861173092
2009,1,14,1600,179.05,10603,35.2067026263999,41.7448703784193
2009,1,14,1630,37.11,-5.72275,34.3803656192524,44.2256520090555
2009,1,14,1700,289.5,0.09975,35.3080936702217,42.5128516571498
2009,1,14,1730,168.6,0.71975,35.5869190407316,41.0324666922284
2009,1,14,1800,27835,-4.73725,34.9177381515079,44.1599693996904
2009,1,14,1830,-19031,-7039,33.7263933866019,48.358603890645
2009,1,14,1900,-44635,-8.2025,33.0622820495692,53.800155451124
2009,1,15,530,-38625,-11.0875,26.7304113628989,88.3643655024122
2009,1,15,600,-27.85,-10275,26.5225597230642,88.7180410913012
2009,1,15,630,12263,-7446,26.7253418107078,87.1517634833639
